ContentDatabase,ContentTypeDeployedFrom,ContentTypeId,ContentTypeName,CTFeatureIDFromDefinition,EventReceiver_Assembly,EventReceiver_Class,EventReceiver_Id,EventReceiver_Name,EventReceiver_Type,EventReceiverDeployedFrom,ListCreatedDate,ListDeleteTransactionID,ListId,ListTitle,ResourceDir,SiteCollection,SiteCollectionOwner,SolutionId,SolutionName,Source,WebApplication,WebUrl
portal_content_01,N/A,0x39061DAC6CB1D846BEB9E1C3645AF5AE,N/A,N/A,"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,9d357431-93fe-46be-8ecc-059dc521ea57,TestEventRecveiver1ItemUpdated,2,ac1d0639-b16c-46d8-beb9-e1c3645af5ae | contoso.contenttype.wsp,10/20/2014 9:23:27 PM,0x,111bd37b-9505-4803-9289-3888dbb42a44,Device Channels,N/A,https://intranet.poc.com/sites/testPublishing,N/A,N/A,CT SolutionName: N/A | ER SolutionName: contoso.contenttype.wsp,From EventReceivers Table,https://intranet.poc.com/,https://intranet.poc.com/sites/testPublishing
portal_content_01,N/A,0x01003A1B64148CDEFC40A1B8BCC7B44DE457,N/A,N/A,"YBBEST.AddEventReceiverToContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=c5b05f5168be008d",YBBEST.AddEventReceiverToContentType.ItemContentTypeEventReceiver,a534dd84-fc48-4b52-ae71-07c2f15238cc,,2,a7407913-0c3b-4bc7-8391-c9d3346cd09a | ybbest.addeventreceivertocontenttype.wsp,6/6/2016 6:27:56 AM,0x,f19b1c2d-dc92-4cdb-9e36-ee2ffdddc039,TestList1,N/A,https://intranet.poc.com/sites/DiscoveryTool,N/A,N/A,CT SolutionName: N/A | ER SolutionName: ybbest.addeventreceivertocontenttype.wsp,From EventReceivers Table,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
portal_content_01,N/A,0x01003EB460A3A64EDC43BF7211AA490C1748,N/A,N/A,"YBBEST.AddEventReceiverToContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=c5b05f5168be008d",YBBEST.AddEventReceiverToContentType.ItemContentTypeEventReceiver,737a3249-a917-4ca3-87b4-0d65e2b41647,,2,a7407913-0c3b-4bc7-8391-c9d3346cd09a | ybbest.addeventreceivertocontenttype.wsp,6/6/2016 6:13:34 AM,0x,a7317a2c-2160-4896-919e-8d3a5712ab54,TestListForER,N/A,https://intranet.poc.com/sites/DiscoveryTool,N/A,N/A,CT SolutionName: N/A | ER SolutionName: ybbest.addeventreceivertocontenttype.wsp,From EventReceivers Table,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
portal_content_01,N/A,0x010003321AFA2350B5478249E7C1C694A2A9,N/A,N/A,"YBBEST.AddEventReceiverToContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=c5b05f5168be008d",YBBEST.AddEventReceiverToContentType.ItemContentTypeEventReceiver,096609f0-af5e-4b5f-93fd-0f0905009fc1,,2,a7407913-0c3b-4bc7-8391-c9d3346cd09a | ybbest.addeventreceivertocontenttype.wsp,6/6/2016 4:40:26 AM,0x,9dcaf3fe-e4bd-47e2-a865-cdadd3316573,LTEROne,N/A,https://intranet.poc.com/sites/DiscoveryTool,N/A,N/A,CT SolutionName: N/A | ER SolutionName: ybbest.addeventreceivertocontenttype.wsp,From EventReceivers Table,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
portal_content_01,N/A,0x39061DAC6CB1D846BEB9E1C3645AF5AE,N/A,N/A,"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,733cd6ab-b6ef-4404-99bc-115d5dd1c994,TestEventRecveiver1ItemUpdated,2,ac1d0639-b16c-46d8-beb9-e1c3645af5ae | contoso.contenttype.wsp,10/20/2014 9:22:57 PM,0x,68cc0465-f1b9-4daa-b5db-f86965ad6c88,Suggested Content Browser Locations,N/A,https://intranet.poc.com/sites/testPublishing,N/A,N/A,CT SolutionName: N/A | ER SolutionName: contoso.contenttype.wsp,From EventReceivers Table,https://intranet.poc.com/,https://intranet.poc.com/sites/testPublishing
portal_content_01,N/A,0x01009DD16A5F77FEB149B619D1F86DEAEBE3,N/A,N/A,"YBBEST.AddEventReceiverToContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=c5b05f5168be008d",YBBEST.AddEventReceiverToContentType.ItemContentTypeEventReceiver,f6efc018-d58c-4b61-9fcf-201319bcd4e2,,2,a7407913-0c3b-4bc7-8391-c9d3346cd09a | ybbest.addeventreceivertocontenttype.wsp,2/29/2016 9:34:50 AM,0x,7ece57b7-876e-4de4-8f08-7112e160252c,TestList4,N/A,https://intranet.poc.com/sites/DiscoveryTool,N/A,N/A,CT SolutionName: N/A | ER SolutionName: ybbest.addeventreceivertocontenttype.wsp,From EventReceivers Table,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
portal_content_01,N/A,0x39061DAC6CB1D846BEB9E1C3645AF5AE,N/A,N/A,"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,97aae332-4203-4482-9206-2489cfa379d4,TestEventRecveiver1ItemUpdated,2,ac1d0639-b16c-46d8-beb9-e1c3645af5ae | contoso.contenttype.wsp,10/21/2014 4:30:40 PM,0x,3741ae80-6b21-48ef-9782-d540f94496c1,Content and Structure Reports,N/A,https://intranet.poc.com/sites/PocContosoTeamSite,N/A,N/A,CT SolutionName: N/A | ER SolutionName: contoso.contenttype.wsp,From EventReceivers Table,https://intranet.poc.com/,https://intranet.poc.com/sites/PocContosoTeamSite
portal_content_01,N/A,0x39061DAC6CB1D846BEB9E1C3645AF5AE,N/A,N/A,"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,bdce7101-25d2-42b1-bf5d-24d3da90d665,TestEventRecveiver1ItemUpdated,2,ac1d0639-b16c-46d8-beb9-e1c3645af5ae | contoso.contenttype.wsp,10/20/2014 9:22:58 PM,0x,1520e59e-ba6f-4468-9dc9-dc72d2a408f8,Notification List,N/A,https://intranet.poc.com/sites/testPublishing,N/A,N/A,CT SolutionName: N/A | ER SolutionName: contoso.contenttype.wsp,From EventReceivers Table,https://intranet.poc.com/,https://intranet.poc.com/sites/testPublishing
portal_content_01,N/A,0x39061DAC6CB1D846BEB9E1C3645AF5AE,N/A,N/A,"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,ed9a72ab-1791-4384-82ca-2f2df74413bd,TestEventRecveiver1ItemUpdated,2,ac1d0639-b16c-46d8-beb9-e1c3645af5ae | contoso.contenttype.wsp,10/21/2014 4:30:47 PM,0x,0346291b-26ea-4a95-bc93-345daf8b6b88,TaxonomyHiddenList,N/A,https://intranet.poc.com/sites/PocContosoTeamSite,N/A,N/A,CT SolutionName: N/A | ER SolutionName: contoso.contenttype.wsp,From EventReceivers Table,https://intranet.poc.com/,https://intranet.poc.com/sites/PocContosoTeamSite
portal_content_01,N/A,0x39061DAC6CB1D846BEB9E1C3645AF5AE,N/A,N/A,"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,fa234782-a16b-4fe1-81f2-37c08421b583,TestEventRecveiver1ItemAdding,2,ac1d0639-b16c-46d8-beb9-e1c3645af5ae | contoso.contenttype.wsp,10/21/2014 4:30:49 PM,0x,ffa1a9c7-51d2-41f3-b97b-80f42513d72a,Content type publishing error log,N/A,https://intranet.poc.com/sites/PocContosoTeamSite,N/A,N/A,CT SolutionName: N/A | ER SolutionName: contoso.contenttype.wsp,From EventReceivers Table,https://intranet.poc.com/,https://intranet.poc.com/sites/PocContosoTeamSite
